new,host,a,aaaa,cname,soa,status_code,txt,cdn,cdn-name,ns,mx,caa
[x],circulation.ad.nl,164.92.144.12,,dpg.pexi.nl,"ns1.digitalocean.com, hostmaster.pexi.nl",NOERROR,,,,,,
[x],club.ad.nl,"95.101.74.139, 95.101.74.150","2a02:26f0:c900:9::5f65:4a8b, 2a02:26f0:c900:9::5f65:4a96","dpp-ad-wc.edgekey.net, e15537.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],cmp.ad.nl,"52.222.139.43, 52.222.139.27, 52.222.139.5, 52.222.139.19",,cdn-1294.privacy-mgmt.com,"ns-840.awsdns-41.net, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,
[x],cms1.valtaf.ad.nl,54.144.128.85,,www.valtaf.nl,,NOERROR,,,,,,
[x],dagkrant.ad.nl,146.185.54.239,,www5524.persgroep.be,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],data.ad.nl,146.185.53.23,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,
[x],dev-krant.ad.nl,,,e-pages.pub,"ns1.dlx.dk, ks.dlx.dk",NOERROR,,,,"ns1.dlx.dk, ns2.dlx.dk",mail.dlx.dk,
[x],dev-service.ad.nl,"2.16.100.43, 2.16.100.48","2a02:26f0:ee00::216:f09b, 2a02:26f0:ee00::216:f0c1","dpp-ad-wc.edgekey.net, e15537.dscb.akamaiedge.net, e15537.dscb.akamaiedge.net.0.1.cn.akamaiedge.net","n0cn.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
[x],developers.valtaf.ad.nl,,,www.valtaf.nl,,NOERROR,,,,,,
[x],digitalekrant.ad.nl,,,www.e-pages.dk,"ns1.dlx.dk, ks.dlx.dk",NOERROR,,,,,,
