new,host,a,soa,ns,status_code,txt,cdn,cdn-name,cname,mx,aaaa,caa,has_internal_ips,internal_ips
[x],cl-faq-growth.cornershopapp.com,"54.88.243.151, 54.165.196.185, 54.221.184.199","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,a90c95095354a4874a6c1764b8d1ce1a-805884263.us-east-1.elb.amazonaws.com,,,,,
[x],cl-faq.cornershopapp.com,,"alina.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,,
[x],co-faq.cornershopapp.com,,"alina.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,,
[x],conduct.cornershop.io,,"ns-482.awsdns-60.com, awsdns-hostmaster.amazon.com",,NOERROR,,True,cloudfront,,,,,,
[x],cornershop-integrations-pre-order-gpa.satellite.superpal.io,,"ns-984.awsdns-59.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],cornershopapp.com,"104.16.239.58, 104.17.236.82","alina.ns.cloudflare.com, dns.cloudflare.com","earl.ns.cloudflare.com, alina.ns.cloudflare.com",NOERROR,"google-site-verification=T0i-19n3qLxoZG0rn4V-as0MNEBM3spZcwyPdX8iFL0, google-site-verification=fqdTYpi1byCxygm_q8rAC6MPTiXpGwSdSwvNdJt7KIM, google-site-verification=ih8LPnlgeir91e1dlYzPFKCaJiIrJafg5CzwcSSkKCk, google-site-verification=vbOwjj9YuQnelzoeg-f4USyNE00B0tomxtfNr1vNsZg, heritage=external-dns,external-dns/owner=cs-prod.k8s.local,external-dns/resource=ingress/cornershop-prod-backend/backend, miro-verification=f91d7a76ae54884a00a3219d62e83304be2efc96, onetrust-domain-verification=40b2c505872840e3a4aa7ecd6ff38cca, segment-site-verification=oeMvBGNPna0yK5HJhhfWLJ6kzzy1YMn3, v=spf1 include:spf.mail.intercom.io include:sendgrid.net include:_spf.google.com include:mail.zendesk.com -all, MS=ms36150616, apple-domain-verification=5wKZkFZTwnHHDHRi, asv=ea37ea93136749db5f172da21f630947, docusign=44f0700f-1f89-49c8-a0f0-4dab91b481a3, docusign=a63d4785-af94-4900-9845-a719ce89f0bb, facebook-domain-verification=r8z5y46ppgma2eo6xyrfuyzqhilrx4, google-site-verification=EY56GX80VS-Q4qeD9PJuaGCXccG5wG6bGus0-FhhnSU, google-site-verification=GsJTiNWvD8KfepE1e6Vyv-4kGWddmnaPvaUYnbBPjDY, google-site-verification=PspDh6gXCLAl-nXQ3fpZQtunpD9jBctBSqy9yGPYqfQ",True,cloudflare,,"aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com",,,,
[x],cr-faq-growth.cornershopapp.com,,"alina.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,,
[x],cr-faq.cornershopapp.com,,"alina.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,,,,
[x],crm.cornershopapp.com,"104.16.239.58, 104.17.236.82","alina.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,True,cloudflare,,,,,,
[x],crm.superpal.com,"104.18.96.77, 104.16.242.93","alina.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,True,cloudflare,,,,,,
[x],cronjobs.ca.stores-int.superpal.io,35.188.233.39,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,True,google,,,,,,
[x],cronjobs.co.stores-int.superpal.io,35.188.233.39,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"heritage=external-dns,external-dns/owner=cs-gke-scrapers,external-dns/resource=ingress/stores-integrations-co/cronjob-manager-co",True,google,,,,,,
