new,host,a,soa,status_code,ns,has_internal_ips,internal_ips,cdn,cdn-name,cname,mx,txt,caa,aaaa
[x],mta03-56.m.rakuten.com,52.200.59.56,"edns4.ultradns.com, hostmaster.ebates.com",NOERROR,,,,,,,,,,
[x],mta03-58.m.rakuten.com,52.200.59.58,"edns4.ultradns.com, hostmaster.ebates.com",NOERROR,,,,,,,,,,
[x],mta03-59.m.rakuten.com,52.200.59.59,"edns4.ultradns.com, hostmaster.ebates.com",NOERROR,,,,,,,,,,
[x],mta03-60.m.rakuten.com,52.200.59.60,"edns4.ultradns.com, hostmaster.ebates.com",NOERROR,,,,,,,,,,
[x],mta03-61.m.rakuten.com,52.200.59.61,"edns4.ultradns.com, hostmaster.ebates.com",NOERROR,,,,,,,,,,
[x],mta03-62.m.rakuten.com,52.200.59.62,"edns4.ultradns.com, hostmaster.ebates.com",NOERROR,,,,,,,,,,
[x],mta03-63.m.rakuten.com,52.200.59.63,"edns4.ultradns.com, hostmaster.ebates.com",NOERROR,,,,,,,,,,
[x],mta03-65.m.rakuten.com,52.200.59.65,"edns4.ultradns.com, hostmaster.ebates.com",NOERROR,,,,,,,,,,
[x],mta03-66.m.rakuten.com,52.200.59.66,"edns4.ultradns.com, hostmaster.ebates.com",NOERROR,,,,,,,,,,
[x],mta03-67.m.rakuten.com,52.200.59.67,"edns4.ultradns.com, hostmaster.ebates.com",NOERROR,,,,,,,,,,
[x],mta0301-45.m.rakuten.com,52.200.59.45,"edns4.ultradns.com, hostmaster.ebates.com",NOERROR,,,,,,,,,,
