new,host,a,soa,status_code,cdn,cdn-name,cname,aaaa,ns,mx,has_internal_ips,internal_ips,caa,txt
,cdn.bigcommerce.com,34.98.73.172,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,cdn-bigcommerce-com-lb.gcp.bigcommerce.net,,,,,,,
,cdn10.bigcommerce.com,"192.200.160.253, 63.141.128.3","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,cdn10.bigcommerce.com.cdn.cloudflare.net,,,,,,,
,cdn100.bigcommerce.com,"63.141.128.3, 192.200.160.253","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,cdn100.bigcommerce.com.cdn.cloudflare.net,,,,,,,
,cdn11.bigcommerce.com,"63.141.128.3, 192.200.160.253","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,cdn11.bigcommerce.com.cdn.cloudflare.net,,,,,,,
,cdn2.bigcommerce.com,"63.141.128.3, 192.200.160.253","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,cdn2.bigcommerce.com.cdn.cloudflare.net,,,,,,,
,cdn3.bigcommerce.com,"63.141.128.3, 192.200.160.253","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,cdn3.bigcommerce.com.cdn.cloudflare.net,,,,,,,
,cdn4.bigcommerce.com,"63.141.128.3, 192.200.160.253","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,cdn4.bigcommerce.com.cdn.cloudflare.net,,,,,,,
,cdn5.bigcommerce.com,"192.200.160.253, 63.141.128.3","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,cdn5.bigcommerce.com.cdn.cloudflare.net,,,,,,,
,cdn6.bigcommerce.com,"192.200.160.253, 63.141.128.3","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,cdn6.bigcommerce.com.cdn.cloudflare.net,,,,,,,
,cdn7.bigcommerce.com,"63.141.128.3, 192.200.160.253","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,cdn7.bigcommerce.com.cdn.cloudflare.net,,,,,,,
