new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,ns,has_internal_ips,internal_ips,mx,txt
,miui-l7-data-other-c4.pt.miui.com,183.84.5.152,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,
,miui-l7-data-other.pt.miui.com,"124.251.100.113, 183.84.5.152",,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,
,miui-l7-lan.pt.miui.com,10.108.230.192,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,True,10.108.230.192,,
,miui.com,124.251.100.193,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,"ns4.dnsv5.com, ns3.dnsv5.com",,,mail.miui.com,"r1vwn769ljsjlzyc69mjs88dnmmcpt8w, v=spf1 ip4:58.68.235.0/24 ip4:58.68.247.0/24 ip4:59.108.40.194/28 ip4:211.147.239.157 ip4:222.35.137.145 ip4:222.35.137.233 ip4:69.28.52.82 ip4:69.28.52.85 ip4:69.28.52.86 ip4:69.28.52.87 ip4:69.28.52.88 include:_spf.google.com ~all"
,miui12.home.miui.com,20.47.97.231,,cname-app-com-amsproxy.w.mi-dun.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,"ns3.dnsv5.com, ns4.dnsv5.com",,,,
,miuiapi.pay.xiaomi.com,20.47.97.231,,cname-app-com-amsproxy.w.mi-dun.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,
,miuiapipay.xiaomi.com,,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,
,miuirom.xiaomi.com,"2.19.126.91, 2.19.126.94","2a02:26f0:480:f::213:7ed8, 2a02:26f0:480:f::213:7ee3","miuirom.xiaomi.com.mgslb.com, miuirom.xiaomi.com.download.ks-cdn.com, xiaomi.edgesuite.net, a1817.dscd.akamai.net","n0dscd.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,
,mivideo.g.mi.com,163.171.128.244,,"mivideo.g.mi.com.mgslb.com, mivideo.g.mi.com.wsdvs.com","dns1.wsdvs.info, webmaster.glb0.lxdns.com",NOERROR,,,,,,,
,mixin.api.files.xiaomi.com,"183.84.5.4, 124.251.58.95",,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,
,mno.new.misim.10046.mi.com,20.47.97.231,,cname-app-com-amsproxy.w.mi-dun.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,
,mob.cname.xiaomiyoupin.com,"111.13.213.104, 39.156.150.155","2409:8c00:7821:10::24, 2409:8700:c21:61::2",,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,
,mob.pandora.xiaomi.com,111.13.142.130,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,
,monitor.pandora.xiaomi.com,"124.251.101.26, 183.84.5.15",,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,
,mos-res-abroad-cdn.home.mi.com,"101.33.11.29, 101.33.11.110",,"mos-res-abroad-cdn.home.mi.com.mgslb.com, mos-res-abroad-cdn.home.mi.com.cdn.dnsv1.com, 5yoleygm.tweb.sched.ovscdns.com","ns1.ovscdns.com, webmaster.ovscdns.com",NOERROR,,,,,,,
