new,host,a,cname,soa,status_code,cdn,cdn-name,ns,mx,txt,aaaa,caa,has_internal_ips,internal_ips
[x],duediligence.payoneer.com,35.190.33.81,fire-gcp-lb-81.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
[x],dyntest.payoneer.com,8.8.8.8,,"dns1.g01.ns1global.org, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],earlypaymentsapplicationapi.sandbox.payoneer.com,,,,NOERROR,,,,,,,,,
[x],emailverification.sandbox.payoneer.com,130.211.36.192,emailverification-sandbox-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
[x],emailverificationapi.payoneer.com,35.190.33.81,emailverificationapi-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,"ns-1226.awsdns-25.org, ns-1972.awsdns-54.co.uk, ns-273.awsdns-34.com, ns-518.awsdns-00.net",,,,,,
[x],emailverificationapi.sandbox.payoneer.com,130.211.36.192,emailverificationapi-sandbox-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
[x],engineering.payoneer.com,"162.159.153.4, 162.159.152.4",,"dns1.g01.ns1global.org, hostmaster.nsone.net",NOERROR,True,cloudflare,,,,,,,
[x],enterpriseregistration.payoneer.com,20.190.137.40,"enterpriseregistration.windows.net, adrs.privatelink.msidentity.com, www.tm.prd.adrs.trafficmanager.net","tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,True,azure,,,,,,,
[x],evserver.payoneer.com,193.104.115.5,,"dns1.g01.ns1global.org, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],explore.payoneer.com,,explore-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
[x],fdcapplicationapi.payoneer.com,35.190.33.81,fdcapplicationapi-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,"ns-1226.awsdns-25.org, ns-1972.awsdns-54.co.uk, ns-273.awsdns-34.com, ns-518.awsdns-00.net",,,,,,
[x],fdcapplicationapi.sandbox.payoneer.com,130.211.36.192,fdcapplicationapi-sandbox-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
[x],files.sandbox.payoneer.com,"18.66.248.35, 18.66.248.21, 18.66.248.39, 18.66.248.46",ddld7htqc7zbz.cloudfront.net,"ns-207.awsdns-25.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-541.awsdns-03.net, ns-1308.awsdns-35.org, ns-1979.awsdns-55.co.uk, ns-207.awsdns-25.com",,,,,,
[x],filesapi.dev.payoneer.com,"52.222.214.31, 52.222.214.19, 52.222.214.65, 52.222.214.66",d22eqj62pubhch.cloudfront.net,"ns-860.awsdns-43.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"ns-1303.awsdns-34.org, ns-1853.awsdns-39.co.uk, ns-275.awsdns-34.com, ns-860.awsdns-43.net",,,,,,
[x],filesapi.payoneer.com,35.190.33.81,filesapi-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
[x],filesapi.sandbox.payoneer.com,130.211.36.192,filesapi-sandbox-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
[x],fxoperationsapi.payoneer.com,35.190.33.81,fxoperationsapi-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
[x],fxoperationsapi.sandbox.payoneer.com,130.211.36.192,fxoperationsapi-sandbox-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
[x],globalps.sandbox.payoneer.com,,,,NOERROR,,,,,,,,,
[x],globalpsapi.payoneer.com,54.144.128.85,,,NOERROR,,,,,,,,,
[x],go.payoneer.com,"104.17.74.206, 104.17.70.206, 104.17.71.206, 104.17.72.206, 104.17.73.206","payoneer.mktoweb.com, sji.mktossl.com","bart.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],goto.payoneer.com,35.190.33.81,goto-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
[x],greenhouseapp.payoneer.com,,,"dns1.g01.ns1global.org, hostmaster.nsone.net",NOERROR,True,azure,,,,,,,
