new,host,a,soa,status_code,cdn,cdn-name,aaaa,cname,ns,txt,has_internal_ips,internal_ips,mx,caa
[x],cfs.canon.com,146.184.161.38,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,"nydns07.cusa.canon.com, nydns08.cusa.canon.com, svadns3.cusa.canon.com, svadns4.cusa.canon.com","MS=ms26022897, v=spf1 ip4:146.184.0.84 ip4:146.184.152.28 ip4:146.184.152.232 ip4:146.184.162.201 ip4:146.184.162.207 ip4:146.184.162.94 ip4:146.184.162.95 ip4:146.184.153.80 ip4:146.184.153.81 ip4:146.184.162.125 ip4:146.184.153.57,  include:spf.protection.outlook.com ~all",,,cfs-canon-com.mail.protection.outlook.com,
[x],cfserviceqa.cusa.canon.com,,,NOERROR,,,,,,,,,,
[x],cgss.mycanon.usa.canon.com,34.102.160.245,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],chat.cla.canon.com,190.242.8.101,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],chatbot-dev.ciis.canon.com,13.72.64.248,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,ciischatbot-dev.eastus.cloudapp.azure.com,,,,,,
[x],cicd-1.dt.ciis.canon.com,,,NOERROR,,,,,,,,,,
[x],ciis.canon.com,146.184.161.101,,NOERROR,,,,,,,,,ciis-canon-com.mail.protection.outlook.com,
[x],cinemaeos.usa.canon.com,146.184.161.195,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],citi.eshipping.cbps.canon.com,67.216.179.58,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],cl.api.spsstg.cusa.canon.com,10.222.197.6,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,True,10.222.197.6,,
[x],cla.canon.com,146.184.161.148,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,"nydns07.cusa.canon.com, svadns4.cusa.canon.com, nydns08.cusa.canon.com, svadns3.cusa.canon.com","MS=ms54835763, google-site-verification=zuGiQxplzFfrX1CzWiDCDTuTcXtkUkNABa8zISC6VIQ, v=spf1 ip4:146.184.0.84 ip4:146.184.152.28 ip4:146.184.152.232 ip4:146.184.162.201 ip4:146.184.162.207 ip4:146.184.162.94 ip4:146.184.162.95 ip4:146.184.153.80 ip4:146.184.153.81 ip4:146.184.162.125 ip4:146.184.153.57,  include:spf.protection.outlook.com -all",,,cla-canon-com.mail.protection.outlook.com,
[x],clawip.uat.cusa.canon.com,,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,google-site-verification=zuGiQxplzFfrX1CzWiDCDTuTcXtkUkNABa8zISC6VIQ,,,,
[x],click.latam.cla.canon.com,13.111.234.27,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,,
[x],cloud.latam.cla.canon.com,13.111.232.78,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,,
[x],cms.cusa.canon.com,54.144.128.85,,NOERROR,,,,,,,,,,
[x],cmv001.cusa.canon.com,54.144.128.85,,NOERROR,,,,,,,,,,
[x],cnadev.cusa.canon.com,146.184.161.93,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],cnaloginprd.cusa.canon.com,"146.184.161.26, 146.184.162.24, 146.184.162.25, 146.184.152.101, 146.184.152.100","mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,"svadns4.cusa.canon.com, svadns3.cusa.canon.com, nydns07.cusa.canon.com, nydns08.cusa.canon.com",,,,,
[x],cnt.canon.com,98.129.229.205,"01.dnsv.jp, hostmaster.dnsv.jp",NOERROR,,,,,,v=spf1 include:spf.protection.outlook.com -all,,,cnt-canon-com.mail.protection.outlook.com,
[x],cnybrscl1.cusa.canon.com,146.184.6.73,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],cnybrscl2.cusa.canon.com,146.184.6.83,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],cnycna1.cusa.canon.com,146.184.162.58,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],cnyedi.cusa.canon.com,,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],cnyetrustvm.cusa.canon.com,,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],cnyextvmback.cusa.canon.com,146.184.6.24,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],cnyisgstrain.cusa.canon.com,146.184.162.136,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],cnystsdkb1.cusa.canon.com,146.184.6.72,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],cnystsdlms1.cusa.canon.com,146.184.6.184,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],cnystsdqmark.cusa.canon.com,146.184.162.84,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],cnystsdqmark2.cusa.canon.com,146.184.6.20,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],cnysware1.cusa.canon.com,146.184.6.31,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],cnysware2.cusa.canon.com,146.184.6.32,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],collector.usa.canon.com,"216.239.34.21, 216.239.36.21, 216.239.38.21, 216.239.32.21","mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,"2001:4860:4802:32::15, 2001:4860:4802:34::15, 2001:4860:4802:36::15, 2001:4860:4802:38::15",,,google-site-verification=DVdbrToKkNiBvMml44Yqfy-YtdHzbM333yk7WbTbSrE,,,,
[x],commerce.mylan.csa.canon.com,146.184.161.113,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,"nydns08.cusa.canon.com, nydns07.cusa.canon.com, svadns4.cusa.canon.com, svadns3.cusa.canon.com",,,,,
[x],communication.mycanon.usa.canon.com,34.102.160.245,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],community.usa.canon.com,"18.244.146.22, 18.244.146.50, 18.244.146.86, 18.244.146.104, 205.251.193.47, 205.251.195.145","ns-913.awsdns-50.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"2600:9000:26de:5e00:18:cd7a:b040:93a1, 2600:9000:26de:e600:18:cd7a:b040:93a1, 2600:9000:26de:ae00:18:cd7a:b040:93a1, 2600:9000:26de:4600:18:cd7a:b040:93a1, 2600:9000:26de:1a00:18:cd7a:b040:93a1, 2600:9000:26de:8a00:18:cd7a:b040:93a1, 2600:9000:26de:9a00:18:cd7a:b040:93a1, 2600:9000:26de:8800:18:cd7a:b040:93a1","canonusa.lithium.com, dhnm22m5rf935.cloudfront.net","ns-913.awsdns-50.net, ns-1286.awsdns-32.org, ns-1949.awsdns-51.co.uk, ns-303.awsdns-37.com",,,,,
[x],confluence.ciis.canon.com,146.184.4.141,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],connlwdevny.cfs.canon.com,,,NOERROR,,,,,,,,,,
[x],contactpreferences.cusa.canon.com,,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],corpmail.cusa.canon.com,146.184.6.33,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],cpex.csa.canon.com,146.184.161.242,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],cr-x300.usa.canon.com,146.184.0.221,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],cretemplate.cfs.canon.com,146.184.161.37,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,"nydns07.cusa.canon.com, svadns3.cusa.canon.com, svadns4.cusa.canon.com, nydns08.cusa.canon.com",,,,,
[x],csai.canon.com,,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,"google-site-verification=A-MMvnt4Svwmxf5bJ_V0Ui4cC3uuohWXsldG9XRLb8M, v=spf1 ip4:146.184.0.84 ip4:146.184.152.28 ip4:146.184.152.232 ip4:146.184.162.201 ip4:146.184.162.207 ip4:146.184.162.94 ip4:146.184.162.95 ip4:146.184.153.80 ip4:146.184.153.81 ip4:146.184.162.125 ip4:146.184.153.57 ~all, MS=ms64717055",,,csai-canon-com.mail.protection.outlook.com,
[x],csaroioptmizer.csa.canon.com,3.134.54.220,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],csasfdcqa.cusa.canon.com,146.184.161.139,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],csasfdctst.cusa.canon.com,146.184.161.219,,NOERROR,,,,,,,,,,
[x],csasupport.csa.canon.com,146.184.161.174,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],cscope.cusa.canon.com,146.184.152.146,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],csftp2.cusa.canon.com,146.184.163.95,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],csp.api-stg.esb.usa.canon.com,146.184.161.89,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],csp.api-tst.esb.usa.canon.com,,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
