new,host,a,ptr,soa,ns,txt,status_code,cname,mx,has_internal_ips,internal_ips,cdn,cdn-name,caa
[x],000-602-drp-pipe70-487oauth.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns1327.ztomy.com, ns2327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-602-oauth-acnygaaoauth.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns1327.ztomy.com, ns2327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-602-oauth-files.cnosf.deezer.com,208.91.197.27,,"ns1327.ztomy.com, abuse.opticaljungle.com","ns2327.ztomy.com, ns1327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-602-oauth.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns2327.ztomy.com, ns1327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-602-oauth0readme.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns1327.ztomy.com, ns2327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-602-oauthstaging-files.cnosf.deezer.com,"208.91.197.27, 199.79.61.27",ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns1327.ztomy.com, ns2327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-602-staging-files35.cnosf.deezer.com,208.91.197.27,,"ns1327.ztomy.com, abuse.opticaljungle.com",,v=spf1 a -all,NOERROR,,,,,,,
[x],000-602.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns2327.ztomy.com, ns1327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-602abillsstaging-files.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns1327.ztomy.com, ns2327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-602e-cdnt-proxy-2.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns1327.ztomy.com, ns2327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-602sonos-queue-bridge122.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns2327.ztomy.com, ns1327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-602staging-files-0readme.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns1327.ztomy.com, ns2327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-643staging-filesoauth.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns1327.ztomy.com, ns2327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-833-2020.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns2327.ztomy.com, ns1327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-833-9d972dc4b973.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns2327.ztomy.com, ns1327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-833-preprod-files-files.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns1327.ztomy.com, ns2327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],000-833-preprod-files.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns2327.ztomy.com, ns1327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],0001-0250.000-422oauth.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns1327.ztomy.com, ns2327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],0001-0250.000-602-drp-pipe.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns1327.ztomy.com, ns2327.ztomy.com",v=spf1 a -all,NOERROR,,,,,,,
[x],00c8z.nl-centralafrica.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns1327.ztomy.com, ns2327.ztomy.com",,NOERROR,,,,,,,
[x],02-ham-or-spam.00-misc.cnosf.deezer.com,208.91.197.27,ns1327.ztomy.com,"ns1327.ztomy.com, abuse.opticaljungle.com","ns1327.ztomy.com, ns2327.ztomy.com",,NOERROR,,,,,,,
