new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,ns,has_internal_ips,internal_ips,txt,mx,caa
[x],app.doctolib.com,,,"bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],assets-dev.doctolib.de,"172.64.148.104, 104.18.39.152","2606:4700:4400::6812:2798, 2606:4700:4400::ac40:9468","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],assets-dev.doctolib.fr,"104.16.234.19, 104.16.235.19","2606:4700::6810:ea13, 2606:4700::6810:eb13","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],assets-prd-aws-de-fra-1.doctolib.fr,"104.16.234.19, 104.16.235.19","2606:4700::6810:eb13, 2606:4700::6810:ea13","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],assets-preprod.doctolib.fr,"18.197.185.205, 52.28.126.142",,"ns-905.awsdns-49.net, awsdns-hostmaster.amazon.com",NOERROR,,,public-elb-preprod.doctolib.tech,,,,,,
[x],assets-preprod.doctolib.it,"52.28.126.142, 18.197.185.205",,"ns-905.awsdns-49.net, awsdns-hostmaster.amazon.com",NOERROR,,,public-elb-preprod.doctolib.tech,"ns-1306.awsdns-35.org, ns-1629.awsdns-11.co.uk, ns-481.awsdns-60.com, ns-905.awsdns-49.net",,,,,
[x],assets-staging.doctolib.de,172.65.226.33,2606:4700:90:0:580a:7f69:f5e9:bfcd,"brenda.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"rs-staging.doctolib.de, 3056ef016c2e47e89858dacb86999c6b.pacloudflare.com",,,,,,
[x],assets-staging.doctolib.fr,172.65.216.187,2606:4700:90:0:27b:8cb0:7d6:d616,"brenda.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"rs-staging.doctolib.fr, adb19b6f6f50413f85f16e9f8e4eab77.pacloudflare.com",,,,,,
[x],assets-staging2.doctolib.net,,,"bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],assets-staging3.doctolib.net,,,"bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],assets.doctolib.de,,2606:4700:90:0:8276:a1b7:9b67:6531,"brenda.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"rs.doctolib.de, 1e87368e721d4d36b8aae2fdb8b0d37a.pacloudflare.com",,,,,,
[x],assets.doctolib.fr,172.65.248.213,2606:4700:90:0:3697:4d05:99b8:dc3a,"brenda.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"rs.doctolib.fr, 0135052461d0410b8e4b124e9d0927e0.pacloudflare.com",,,,,,
[x],auth-dev.doctolib.fr,"104.16.235.19, 104.16.234.19","2606:4700::6810:ea13, 2606:4700::6810:eb13","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],auth-staging.doctolib.de,172.65.226.33,2606:4700:90:0:580a:7f69:f5e9:bfcd,"brenda.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"rs-staging.doctolib.de, 3056ef016c2e47e89858dacb86999c6b.pacloudflare.com",,,,,,
[x],auth-staging.doctolib.fr,172.65.216.187,2606:4700:90:0:27b:8cb0:7d6:d616,"brenda.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"rs-staging.doctolib.fr, adb19b6f6f50413f85f16e9f8e4eab77.pacloudflare.com",,,,,,
[x],backstage.doctolib.net,,,"bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],billing-staging.doctolib.fr,,,"ns-1495.awsdns-58.org, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1014.awsdns-62.net, ns-1495.awsdns-58.org, ns-1694.awsdns-19.co.uk, ns-248.awsdns-31.com",,,v=spf1 include:amazonses.com -all,inbound-smtp.eu-west-1.amazonaws.com,
[x],boards.doctolib.net,,,"bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],careers-staging.doctolib.de,"172.64.148.104, 104.18.39.152","2606:4700:4400::6812:2798, 2606:4700:4400::ac40:9468","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,ca3-175c23a1502a40fc857191fe34c1f631,,
[x],careers-staging.doctolib.fr,"104.16.234.19, 104.16.235.19",,"bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,ca3-6bf7bd9337d042839f413af9ec915509,,
[x],careers-staging.doctolib.it,"104.18.43.61, 172.64.144.195","2606:4700:4400::ac40:90c3, 2606:4700:4400::6812:2b3d","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,ca3-bc60096416414f7d905c90281931c7ac,,
[x],careers.doctolib.com,"104.16.132.133, 104.16.133.133","2606:4700::6810:8485, 2606:4700::6810:8585","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],careers.doctolib.de,"104.18.39.152, 172.64.148.104","2606:4700:4400::ac40:9468, 2606:4700:4400::6812:2798","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],careers.doctolib.fr,"104.16.88.38, 104.16.87.38","2606:4700::6810:5826, 2606:4700::6810:5726","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],careers.doctolib.it,"104.18.43.61, 172.64.144.195",,"bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],carrers.doctolib.de,,,"bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],centre-dentaire-des-quatre-chemins-addentis.doctolib.fr,,,"bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],centre-dentaire-du-moulin-addentis.doctolib.fr,,,"bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],centre-dentaire-pablo-picasso-addentis.doctolib.fr,,,"bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],cms-staging.doctolib.com,"104.16.132.133, 104.16.133.133","2606:4700::6810:8585, 2606:4700::6810:8485","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,"ca3-9b3e3aef26b84fbaa2cbdedc4d3a7cb1, v=spf1 include:relay.kinstamailservice.com -all",,
[x],community.doctolib.com,"104.16.132.133, 104.16.133.133","2606:4700::6810:8585, 2606:4700::6810:8485","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],community.doctolib.de,"172.64.148.104, 104.18.39.152","2606:4700:4400::ac40:9468, 2606:4700:4400::6812:2798","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
