new,host,a,soa,txt,status_code,cname,mx,cdn,cdn-name,aaaa,ns,caa,has_internal_ips,internal_ips
[x],m.razer.com,,"ns-1308.awsdns-35.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,"ns-1308.awsdns-35.org, ns-1777.awsdns-30.co.uk, ns-347.awsdns-43.com, ns-709.awsdns-24.net",,,
[x],mc.zgold-dev.razer.com,13.251.225.61,"ns-931.awsdns-52.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],media-external.gold.razer.com,"23.213.161.13, 23.213.161.4","n0dscd.akamai.net, hostmaster.akamai.com",,NOERROR,"media-external.gold.razer.com.edgesuite.net, a1967.dscd.akamai.net",,,,"2a01:4a0:1338:28::c38a:ff18, 2a01:4a0:1338:28::c38a:ff12",,,,
[x],media.gold-sandbox.razer.com,"95.101.54.224, 2.16.202.97","n0dscd.akamai.net, hostmaster.akamai.com",,NOERROR,"media.gold-sandbox.razer.com.edgesuite.net, a1792.dscd.akamai.net",,,,"2a02:26f0:480:f::213:7ec8, 2a02:26f0:480:f::213:7ede",,,,
[x],media.gold.razer.com,"185.225.250.42, 185.225.250.50","n0dscd.akamai.net, hostmaster.akamai.com",,NOERROR,"media.gold.razer.com.edgesuite.net, a1976.dscd.akamai.net",,,,"2a02:26f0:a600::b9e1:fa2a, 2a02:26f0:a600::b9e1:fa32",,,,
[x],media.zgold-qa.razer.com,"2.16.187.114, 2.16.187.10","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,"media.zgold-qa.razer.com.edgekey.net, e25503.dscb.akamaiedge.net",,,,"2a02:26f0:3100::1735:2bb2, 2a02:26f0:3100::1735:2b68",,,,
[x],mena.razer.com,"104.16.191.67, 104.16.190.67","ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,mena.razer.com.cdn.cloudflare.net,,True,cloudflare,"2606:4700::6810:bf43, 2606:4700::6810:be43",,,,
[x],merchant-th.gold.razer.com,"95.101.74.133, 95.101.74.135","n0b.akamaiedge.net, hostmaster.akamai.com",,NOERROR,"merchant-th.gold.razer.com.edgekey.net, e28040.b.akamaiedge.net",,,,,,,,
[x],merchant.gold.razer.com,"104.114.73.104, 104.114.73.40","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,"merchant.gold.razer.com.edgekey.net, e28040.dscb.akamaiedge.net",,,,"2600:1408:7400::17de:4fa8, 2600:1408:7400::17de:4fa3",,,,
[x],merchant.razer.com,"104.22.66.239, 104.22.67.239, 172.67.6.33","ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,merchant.razer.com.cdn.cloudflare.net,,True,cloudflare,"2606:4700:10::6816:42ef, 2606:4700:10::6816:43ef, 2606:4700:10::ac43:621",,,,
[x],merchant.zgold-qa.razer.com,"18.215.216.1, 54.159.191.114, 52.45.94.28, 35.153.121.209","ns-849.awsdns-42.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],merchant.zvault.razer.com,"107.22.89.128, 35.175.14.230, 3.216.165.241, 3.212.97.204","ns-1439.awsdns-51.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],merchantvoucher.gold.razer.com,"88.221.25.139, 88.221.25.82","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,"merchantvoucher.gold.razer.com-v1.edgekey.net, e28040.dscb.akamaiedge.net",,,,"2a02:26f0:b200::58dd:1952, 2a02:26f0:b200::58dd:198b",,,,
[x],merchantvoucher.zgold-qa.razer.com,,"ns-849.awsdns-42.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],miniapp.gold.razer.com,"3.212.97.204, 35.175.14.230, 107.22.89.128, 3.216.165.241","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,zgp-alb-wan-api-2094325119.us-east-1.elb.amazonaws.com,,,,,,,,
[x],ms-api.razer.com,"104.16.190.67, 104.16.191.67","ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,ms-api.razer.com.cdn.cloudflare.net,,True,cloudflare,"2606:4700::6810:be43, 2606:4700::6810:bf43",,,,
