new,host,status_code,soa,txt,a,ns,aaaa,cdn,cdn-name,mx,cname,caa,has_internal_ips,internal_ips
,b25lcl09.con.can.ibm.com,NOERROR,,,,,,,,,,,,
,b3.email.ibm.com,NOERROR,"asia3.akam.net, dnsadm.us.ibm.com",v=spf1 include:mktomail.com ~all,192.28.145.51,,,,,,,,,
,b8239-1.raleigh.ibm.com,NOERROR,"asia3.akam.net, dnsteam.us.ibm.com",,204.146.167.30,,,,,,,,,
,b8239-2.raleigh.ibm.com,NOERROR,"asia3.akam.net, dnsteam.us.ibm.com",,204.146.167.31,,,,,,,,,
,b8272-3.raleigh.ibm.com,NOERROR,"asia3.akam.net, dnsteam.us.ibm.com",,204.146.167.89,,,,,,,,,
,b8272-6.raleigh.ibm.com,NOERROR,"asia3.akam.net, dnsteam.us.ibm.com",,204.146.167.29,,,,,,,,,
,ba.cloud.ibm.com,NOERROR,"ns011.name.cloud.ibm.com, dns.cloudflare.com",,,"ns011.name.cloud.ibm.com, ns014.name.cloud.ibm.com",,,,,,,,
,ba.test.cloud.ibm.com,NOERROR,"ns001.name.cloud.ibm.com, dns.cloudflare.com",,,"ns014.name.cloud.ibm.com, ns001.name.cloud.ibm.com",,,,,,,,
,babel.watson.ibm.com,NOERROR,"asia3.akam.net, dnsadm.us.ibm.com",,,,,,,,,,,
,backup-h.raleigh.ibm.com,NOERROR,"asia3.akam.net, dnsteam.us.ibm.com",,32.97.198.252,,,,,,,,,
,bailey.watson.ibm.com,NOERROR,"asia3.akam.net, dnsadm.us.ibm.com",,129.34.8.135,,,,,,,,,
,ban-prd-ua-01-vl600.sec.ibm.com,NOERROR,"ehecatl.iss.net, iss-dnsadmin.iss.net",,207.231.148.65,,,,,,,,,
,bankcom34.fr.ibm.com,NOERROR,"eur5.akam.net, ddidns.emea.att.com",,195.212.122.158,,,,,,,,,
,bapitaly.mil.esni.ibm.com,NOERROR,"asia3.akam.net, dnsadm.us.ibm.com",atlassian-domain-verification=WAjTH82C5Zx475WLKAA2nrdlsoA/kN0ej9igrLrED4h15KMHPOm+A5H3GndKAxDC,,,,,,,,,,
,baremetal01-autotag.sl2297082.sl.edst.ibm.com,NOERROR,"ns1.softlayer.com, aamorris.us.ibm.com",,161.202.97.45,,,,,,,,,
,barrie-idrac.vigilent.ibm.com,NOERROR,"asia3.akam.net, dnsadm.us.ibm.com",,129.41.166.31,,,,,,,,,
,bas-glb.itanalytics-na.ibm.com,NOERROR,"asia3.akam.net, dnsadm.us.ibm.com",,108.168.132.119,,,,,,,,,
,basrock2.houston.ibm.com,NOERROR,"asia3.akam.net, dnsadm.us.ibm.com",atlassian-domain-verification=WAjTH82C5Zx475WLKAA2nrdlsoA/kN0ej9igrLrED4h15KMHPOm+A5H3GndKAxDC,,,,,,,,,,
,bastion.sl1900931.sl.edst.ibm.com,NOERROR,"ns1.softlayer.com, aamorris.us.ibm.com",,169.46.175.158,"ns1.softlayer.com, ns2.softlayer.com",,,,,,,,
,bastionx.cloud.ibm.com,NOERROR,"ns051.name.cloud.ibm.com, dns.cloudflare.com",,,"ns182.name.cloud.ibm.com, ns051.name.cloud.ibm.com",,,,,,,,
,baz3.haifa.il.ibm.com,NOERROR,"ns11.haifa.il.ibm.com, itay.il.ibm.com",,195.110.41.23,,,,,,,,,
,bblab-external.ibm.com,NOERROR,"asia3.akam.net, dnsadm.us.ibm.com",,193.158.19.90,,,,,,,,,
,bcrs-apps1.ibm.com,NOERROR,,,,,,,,,apps1.bcrs-vaults.ibm.com,,,
,bcrs-webservice.ibm.com,NOERROR,"asia3.akam.net, dnsadm.us.ibm.com",,,,,,,,,,,
,bcrs1.de.ibm.com,NOERROR,"asia3.akam.net, hostmaster.akamai.com",,,,,,,,,,,
