new,host,a,cname,soa,status_code,cdn,cdn-name,has_internal_ips,internal_ips,ns,mx,txt,caa,aaaa
[x],egr2-2-pdd.security.datastax.com,,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],ehkibana.security.datastax.com,,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],elasticbeanstalk-error-qasite.security.datastax.com,,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],elasticbeanstalk-integration.security.datastax.com,3.94.44.251,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],elasticbeanstalk-new-backupweb01-p.security.datastax.com,,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],elasticbeanstalk96kuas.security.datastax.com,,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],elasticbeanstalkcomcastcom.security.datastax.com,,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],elasticbeanstalkstatus-db2-corp.security.datastax.com,,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],eli.security.datastax.com,,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],email.datastax.com,,,"ns0.datastax.com, dns.datastax.com",NOERROR,,,,,,,,,
[x],emas.security.datastax.com,,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],eng-training.datastax.com,,msan.myabsorb.com,"ns-67.awsdns-08.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],engineering-authdata-live.security.datastax.com,,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],engineering-backup-start-clients.security.datastax.com,,,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
