new,host,a,cname,soa,status_code,cdn,cdn-name,has_internal_ips,internal_ips,ns,txt
,alertmanager-ui.infra-dev.just-data.io,10.117.196.44,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.117.196.44,,
,alertmanager-ui.infra.just-data.io,10.119.68.63,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.119.68.63,,
,alertmanager-ui.just-data.io,10.153.196.40,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.153.196.40,,
,alertmanager-ui.preprod.just-data.io,10.106.112.8,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.106.112.8,,
,alertmanager-ui.qa.just-data.io,10.152.196.43,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.152.196.43,,
,alertmanager.infra-dev.just-data.io,10.117.196.44,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.117.196.44,,
,alertmanager.infra.just-data.io,10.119.68.63,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.119.68.63,,
,alertmanager.ml-dev.just-data.io,10.176.224.8,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.176.224.8,,
,api.just-eat.io,,,"ns-30.awsdns-03.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"globalsign-domain-verification=3f766af8ad2cf347e2aa31333d86659c, _globalsign-domain-verification=gkBr1XqtyPC6kH72MWz08nzpXh0EG1H0qTzGOvWVFV"
,api.justeat-int.com,"104.18.31.28, 104.18.30.28",api.justeat-int.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
,apis.justeat-int.com,"18.66.97.74, 18.66.97.77, 18.66.97.91, 18.66.97.4",d3kpie6ngntmyu.cloudfront.net,"ns-108.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,"ns-108.awsdns-13.com, ns-832.awsdns-40.net, ns-1424.awsdns-50.org, ns-1777.awsdns-30.co.uk",
,astro-ml-dev.just-data.io,10.176.0.106,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.176.0.106,"ns-cloud-d1.googledomains.com, ns-cloud-d4.googledomains.com, ns-cloud-d2.googledomains.com, ns-cloud-d3.googledomains.com",
,astro-ml.just-data.io,10.191.0.8,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.191.0.8,,
,atlantis.infra-dev.just-data.io,10.117.196.44,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.117.196.44,,
,au-partnerapi.just-eat.io,"104.18.28.208, 104.18.29.208",au-partnerapi.just-eat.io.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
,aus.api.just-eat.io,"104.18.28.208, 104.18.29.208",aus.api.just-eat.io.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
,bq-schema-service.dev.just-data.io,10.151.196.42,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.151.196.42,,
,bq-schema-service.just-data.io,10.153.196.40,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.153.196.40,,
,bq-schema-service.qa.just-data.io,10.152.196.43,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,True,10.152.196.43,,
,connected-content-api.dev.just-data.io,35.195.57.220,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,
,connected-content-api.just-data.io,34.77.177.36,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,
,connected-content-api.qa.just-data.io,146.148.7.164,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,loaderio=b6e683257fb8ad19894697b379924dbd
,connected-content-backend.dev.just-data.io,35.195.57.220,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,
