new,host,a,soa,status_code,cdn,cdn-name,cname,ns,mx,txt,aaaa,has_internal_ips,internal_ips,caa
[x],answers.travelocity.ca,"18.67.76.113, 18.67.76.20, 18.67.76.59, 18.67.76.114, 205.251.193.214, 205.251.195.102, 205.251.196.230, 205.251.199.249","ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"travelocity.ugc.bazaarvoice.com, d26d5bmg3gjl2a.cloudfront.net","ns-2041.awsdns-63.co.uk, ns-1254.awsdns-28.org, ns-470.awsdns-58.com, ns-870.awsdns-44.net",,,"2600:9000:2305:ac00:1d:945b:5880:93a1, 2600:9000:2305:2600:1d:945b:5880:93a1, 2600:9000:2305:f000:1d:945b:5880:93a1, 2600:9000:2305:9200:1d:945b:5880:93a1, 2600:9000:2305:6600:1d:945b:5880:93a1, 2600:9000:2305:9e00:1d:945b:5880:93a1, 2600:9000:2305:a200:1d:945b:5880:93a1, 2600:9000:2305:b000:1d:945b:5880:93a1",,,
[x],answers.travelocity.com,"108.138.7.92, 108.138.7.113, 108.138.7.114, 108.138.7.81","ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"travelocity.ugc.bazaarvoice.com, d26d5bmg3gjl2a.cloudfront.net","ns-470.awsdns-58.com, ns-870.awsdns-44.net, ns-1254.awsdns-28.org, ns-2041.awsdns-63.co.uk",,,"2600:9000:2490:bc00:1d:945b:5880:93a1, 2600:9000:2490:c000:1d:945b:5880:93a1, 2600:9000:2490:4800:1d:945b:5880:93a1, 2600:9000:2490:5200:1d:945b:5880:93a1, 2600:9000:2490:5c00:1d:945b:5880:93a1, 2600:9000:2490:6600:1d:945b:5880:93a1, 2600:9000:2490:8e00:1d:945b:5880:93a1, 2600:9000:2490:9200:1d:945b:5880:93a1",,,
[x],aol.ebookers.com,83.245.36.211,"pdns1.ultradns.net, domains.expediagroup.com, dns1.p01.nsone.net",NOERROR,,,content1.ebookers.com,,,,,,,
[x],api-connect.expediagroup.com,"52.52.13.128, 52.9.143.188",,NOERROR,,,api5.creatoriq.com,"ns-1473.awsdns-56.org, ns-1617.awsdns-10.co.uk, ns-248.awsdns-31.com, ns-991.awsdns-59.net",,,,,,
[x],api-dev.stayz.com.au,103.254.47.32,"pdns1.ultradns.net, domains.expediagroup.com, dns1.p01.nsone.net",NOERROR,,,,,,,,,,
[x],api-ext-shadow.fspdecaf.expedia.com,"44.231.227.9, 35.82.154.25, 35.83.225.26","ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,fsp-k-exter-10q3mg0f97o5t-185716509.us-west-2.elb.amazonaws.com,,,,,,,
[x],api-ext.fspdecaf.expedia.com,23.215.16.35,,NOERROR,,,"api-ext.fspdecaf.expedia.com.edgekey.net, e3035.x.akamaiedge.net",,,,,,,
[x],api-keys-api-us-west-2.prod.epsdecaf.expedia.com,"52.85.49.11, 52.85.49.42, 52.85.49.112, 52.85.49.61","ns-1596.awsdns-07.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],api-keys-api-us-west-2.test.epsdecaf.expedia.com,"65.9.66.119, 65.9.66.128, 65.9.66.117, 65.9.66.41","ns-1426.awsdns-50.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,,,,
[x],api-test.stayz.com.au,103.254.47.15,"dns1.p01.nsone.net, domains.expediagroup.com",NOERROR,,,,,,,,,,
[x],api.ean.com,"62.115.252.50, 80.239.137.138, 62.115.252.66, 80.239.137.152, 80.239.137.160, 62.115.252.72, 62.115.252.41, 80.239.137.153, 62.115.252.19","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"api.ean.com.edgekey.net, e83114.x.akamaiedge.net",,,,,,,
[x],api.expedia.com,184.25.219.110,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"api.expedia.com.edgekey.net, e3024.x.akamaiedge.net","pdns6.ultradns.co.uk, pdns1.ultradns.net, pdns2.ultradns.net, pdns3.ultradns.org, pdns4.ultradns.org, pdns5.ultradns.info, dns1.p09.nsone.net, dns2.p09.nsone.net, dns3.p09.nsone.net, dns4.p09.nsone.net",,,,,,
[x],api.expediagroup.com,23.201.248.105,,NOERROR,,,"api.expediagroup.com.edgekey.net, e7176.x.akamaiedge.net",,,,,,,
[x],api.hotwire.com,"34.212.152.63, 44.235.246.98, 44.229.92.109","naya.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,"hotwire.api.mashery.com, td-hotwire.mashery.com",,,,,,,
[x],api.origin.expedia.com,216.251.121.148,"pdns1.ultradns.net, domains.expediagroup.com",NOERROR,,,,,,,,,,
[x],api.preprod.hotwire.com,"34.214.244.91, 44.240.221.25, 54.148.39.104","ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,"hotwirepreprod.api.mashery.com, tm-api-preprod-hotwire-com.api.usw2.mashery.com, tm-api-preprod-hotwire-com-135518207.us-west-2.elb.amazonaws.com",,,,,,,
[x],api.stayz.com.au,103.254.47.60,"dns1.p01.nsone.net, domains.expediagroup.com, pdns1.ultradns.net",NOERROR,,,,,,,,,,
[x],api.travelocity.com,"34.225.71.46, 35.169.142.197, 52.71.179.29","naya.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,"tvly-prod.api.mashery.com, mashery-tm-us-east-1.mashery.com",,,,,,,
[x],api.wotif.com,202.125.108.18,"dns1.p01.nsone.net, domains.expediagroup.com, pdns1.ultradns.net",NOERROR,,,,,,,,,,
[x],apidocs.aws.hotwire.com,10.139.5.119,"ns-668.awsdns-19.net, awsdns-hostmaster.amazon.com",NOERROR,,,qaodlsvc08.aws.hotwire.com,,,,,True,10.139.5.119,
