new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,txt,ns,caa,has_internal_ips,internal_ips,mx
[x],bmi-us-stg.forescout.com,63.82.108.10,,,"ns1.markmonitor.com, hostmaster.markmonitor.com",NOERROR,,,,,,,,
[x],classification.iris.production.forescoutcloud.net,"104.18.8.121, 104.18.9.121","2606:4700::6812:979, 2606:4700::6812:879",classification.iris.production.forescoutcloud.net.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],classification.iris.testing.forescoutcloud.net,"104.18.10.16, 104.18.11.16","2606:4700::6812:b10, 2606:4700::6812:a10",classification.iris.testing.forescoutcloud.net.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],click.forescout.com,"104.17.71.206, 104.17.72.206, 104.17.74.206, 104.17.70.206, 104.17.73.206",,mkto-sj010291.com,"ns1.marketo.com, ops.localhost",NOERROR,True,cloudflare,,,,,,
[x],colo.forescout.com,74.201.95.18,,,"ns1.markmonitor.com, hostmaster.markmonitor.com",NOERROR,,,,,,,,
[x],compatibility.forescout.com,23.185.0.3,"2620:12a:8000::3, 2620:12a:8001::3",,"ns1.markmonitor.com, hostmaster.markmonitor.com",NOERROR,,,,,,,,
[x],core.forescoutcloud.net,,,,"ns-71.awsdns-08.com, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-71.awsdns-08.com, ns-1836.awsdns-37.co.uk, ns-1471.awsdns-55.org, ns-847.awsdns-41.net",,,,
[x],csotools.acceptance.forescoutcloud.net,,,,"ns-1163.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-978.awsdns-58.net, ns-1163.awsdns-17.org, ns-2027.awsdns-61.co.uk, ns-439.awsdns-54.com",godaddy.com,,,
[x],csotools.development.forescoutcloud.net,,,,"ns-286.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1114.awsdns-11.org, ns-1797.awsdns-32.co.uk, ns-286.awsdns-35.com, ns-950.awsdns-54.net",,,,
[x],csotools.testing.forescoutcloud.net,,,,"ns-1924.awsdns-48.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1417.awsdns-49.org, ns-1924.awsdns-48.co.uk, ns-208.awsdns-26.com, ns-852.awsdns-42.net",,,,
[x],dapi-query.iris.testing.forescoutcloud.net,"104.18.10.16, 104.18.11.16","2606:4700::6812:a10, 2606:4700::6812:b10",dapi-query.iris.testing.forescoutcloud.net.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],datalake.iris.testing.forescoutcloud.net,"104.18.10.16, 104.18.11.16","2606:4700::6812:a10, 2606:4700::6812:b10",datalake.iris.testing.forescoutcloud.net.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],datapod-1-druid-ingest.production.forescoutcloud.net,"104.18.14.66, 104.18.15.66","2606:4700::6812:e42, 2606:4700::6812:f42",datapod-1-druid-ingest.production.forescoutcloud.net.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],datapod-1-druid-query.production.forescoutcloud.net,"104.18.14.66, 104.18.15.66","2606:4700::6812:e42, 2606:4700::6812:f42",datapod-1-druid-query.production.forescoutcloud.net.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],datapod-1-druid-query.testing.forescoutcloud.net,"104.18.26.212, 104.18.27.212","2606:4700::6812:1ad4, 2606:4700::6812:1bd4",datapod-1-druid-query.testing.forescoutcloud.net.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],datapod-2-druid-ingest.production.forescoutcloud.net,"104.18.14.66, 104.18.15.66","2606:4700::6812:e42, 2606:4700::6812:f42",datapod-2-druid-ingest.production.forescoutcloud.net.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
[x],datapod-2-druid-query.acceptance.forescoutcloud.net,"104.18.18.57, 104.18.19.57","2606:4700::6812:1239, 2606:4700::6812:1339",datapod-2-druid-query.acceptance.forescoutcloud.net.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
