new,host,a,soa,status_code,ns,cdn,cdn-name,cname,mx,txt,has_internal_ips,internal_ips,caa,aaaa
[x],shibboleth.coursera.org,"54.160.255.142, 107.21.27.58, 54.159.193.142, 3.95.96.73, 54.173.161.111, 107.23.99.193","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,class.coursera.org,,,,,,
[x],stanford.coursera.org,"107.21.27.58, 54.173.161.111, 54.160.255.142, 3.95.96.73, 107.23.99.193, 54.159.193.142","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,class.coursera.org,,,,,,
[x],status.coursera.org,52.215.192.131,"ns-1711.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,sm6xhlx4fbg7.stspg-customer.com,,,,,"globalsign.com;, letsencrypt.org",
[x],tech.coursera.org,"3.95.96.73, 107.23.99.193, 54.173.161.111, 54.159.193.142, 107.21.27.58, 54.160.255.142","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,api.coursera.org,,,,,,
[x],testblog.coursera.org,"107.23.99.193, 54.159.193.142, 54.173.161.111, 107.21.27.58, 54.160.255.142, 3.95.96.73","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],tools.coursera.org,"3.95.96.73, 107.21.27.58, 54.159.193.142, 107.23.99.193, 54.160.255.142, 54.173.161.111","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,class.coursera.org,,,,,,
[x],tor121-332-pdc.labs-dev.coursera.org,"34.230.207.50, 100.25.238.227","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],tor360-434-grc.labs-dev.coursera.org,"34.230.207.50, 100.25.238.227","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],tr.coursera.org,"99.86.114.77, 99.86.114.30, 99.86.114.65, 99.86.114.11","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1481.awsdns-57.org, ns-1590.awsdns-06.co.uk, ns-258.awsdns-32.com, ns-688.awsdns-22.net",True,cloudfront,,,,,,,
[x],tw.coursera.org,"18.66.97.83, 18.66.97.101, 18.66.97.124, 18.66.97.59","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
[x],umd.coursera.org,,"ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,class.coursera.org,,,,,,
[x],umn.coursera.org,"107.23.99.193, 107.21.27.58, 54.159.193.142, 3.95.96.73, 54.173.161.111, 54.160.255.142","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,class.coursera.org,,,,,,
[x],unc.coursera.org,"3.95.96.73, 107.21.27.58, 107.23.99.193, 54.159.193.142, 54.173.161.111, 54.160.255.142","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,class.coursera.org,,,,,,
[x],university-looker.coursera.org,"34.237.212.61, 54.236.131.216","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],unsw.coursera.org,"3.95.96.73, 54.159.193.142, 54.160.255.142, 54.173.161.111, 107.21.27.58, 107.23.99.193","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,class.coursera.org,,,,,,
[x],upenn.coursera.org,"54.173.161.111, 54.159.193.142, 107.21.27.58, 3.95.96.73, 107.23.99.193, 54.160.255.142","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,class.coursera.org,,,,,,
[x],usg.coursera.org,"54.173.161.111, 107.21.27.58, 107.23.99.193, 54.159.193.142, 54.160.255.142, 3.95.96.73","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,class.coursera.org,,,,,,
[x],utc.coursera.org,"3.95.96.73, 54.173.161.111, 54.160.255.142, 54.159.193.142, 107.21.27.58, 107.23.99.193","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,class.coursera.org,,,,,,
[x],utm.coursera.org,"107.23.99.193, 3.95.96.73, 107.21.27.58, 54.173.161.111, 54.159.193.142, 54.160.255.142","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,class.coursera.org,,,,,,
[x],view.email.coursera.org,13.111.160.159,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,,
[x],vote.coursera.org,"3.95.96.73, 54.160.255.142, 107.21.27.58, 107.23.99.193, 54.159.193.142, 54.173.161.111","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],vpn.corp.coursera.org,137.83.214.182,"ns-1840.awsdns-38.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,coursera-vpn.gpcloudservice.com,,GPaaS-FQDN-for-customer-courserainc-631276828,,,,
[x],www-cloudfront-alias.coursera.org,"52.222.174.9, 52.222.174.18, 52.222.174.103, 52.222.174.15","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
[x],www-origin.coursera.org,"3.95.96.73, 54.160.255.142, 107.21.27.58, 107.23.99.193, 54.159.193.142, 54.173.161.111","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],wwww.coursera.org,"99.86.114.11, 99.86.114.77, 99.86.114.65, 99.86.114.30","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1481.awsdns-57.org, ns-1590.awsdns-06.co.uk, ns-258.awsdns-32.com, ns-688.awsdns-22.net",True,cloudfront,,,,,,,
[x],yale.coursera.org,"3.95.96.73, 54.173.161.111, 54.160.255.142, 107.23.99.193, 107.21.27.58, 54.159.193.142","ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,class.coursera.org,,,,,,
[x],zdovjhow.labs.coursera.org,,"ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],zh-tw.coursera.org,,"ns-1590.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
