new,host,a,soa,status_code,cname,cdn,cdn-name,aaaa,ns,has_internal_ips,internal_ips,txt,mx,caa
,sports.cochat.lenovo.com,23.41.181.168,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,"sports.cochat.lenovo.gtm.skycdn.com.cn, cochat.lenovo.com.edgekey.net, cochat.lenovo.com.edgekey.net.globalredir.akadns.net, e16590.x.akamaiedge.net",,,,,,,,,
,sqtest.lenovo.com,146.196.114.23,"a1-79.akam.net, hexing1.lenovo.com",NOERROR,,,,,,,,,,
,sr.mbgstore.lenovo.com.cn,123.57.41.33,"vip3.alidns.com, hostmaster.hichina.com",NOERROR,,,,,,,,,,
,srm.gtm.lenovo.com,103.244.56.134,,NOERROR,,,,,,,,,,
,srmauc.gtm.lenovo.com,103.30.232.136,,NOERROR,,,,,,,,,,
,srmauc.lenovo.com.cn,103.244.56.136,,NOERROR,srmauc.gtm.lenovo.com,,,,,,,,,
,srmcn.lenovo.com.cn,103.30.232.134,,NOERROR,srm.gtm.lenovo.com,,,,,,,,,
,srv.lenovo.com.cn,43.255.225.247,"vip3.alidns.com, hostmaster.hichina.com",NOERROR,lenovo-a.lefile.cn,,,,,,,,,
,srv.shop.17.lenovo.com.cn,43.255.225.247,"vip3.alidns.com, hostmaster.hichina.com",NOERROR,lenovo-a.lefile.cn,,,,,,,,,
,ss-onprem.uds-dev.lenovo.com,"52.7.2.70, 3.225.173.158, 34.200.182.121","ns-1067.awsdns-05.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,ss.gtm.lenovo.com,103.244.56.254,,NOERROR,,,,,,,,,,
