new,host,soa,txt,status_code,a,cname,ns,cdn,cdn-name,has_internal_ips,internal_ips,aaaa,mx,caa
[x],harvestpowerwoobine.us1.my.auvik.com,"ns-1509.awsdns-60.org, awsdns-hostmaster.amazon.com",,NOERROR,"18.160.18.22, 18.160.18.90, 18.160.18.60, 18.160.18.46",,,True,cloudfront,,,,,
[x],helientsystems.my.auvik.com,"ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"52.201.30.58, 18.233.174.39, 44.196.170.71",,,,,,,,,
[x],hutis.my.auvik.com,"ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"18.233.174.39, 44.196.170.71, 52.201.30.58",,,,,,,,,
[x],ictpartners.eu1.my.auvik.com,"ns-167.awsdns-20.com, awsdns-hostmaster.amazon.com",,NOERROR,"52.222.139.14, 52.222.139.127, 52.222.139.60, 52.222.139.89",,,True,cloudfront,,,,,
[x],ictpartnerseg.eu1.my.auvik.com,"ns-167.awsdns-20.com, awsdns-hostmaster.amazon.com",,NOERROR,"52.222.139.127, 52.222.139.60, 52.222.139.14, 52.222.139.89",,,True,cloudfront,,,,,
[x],ideas.auvik.com,"prod-ns1.aha-dns.com, awsdns-hostmaster.amazon.com",,NOERROR,23.22.45.22,ideas11163auvik.ideas.aha.io,,,,,,,,
[x],ientsystems.my.auvik.com,"ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"52.201.30.58, 44.196.170.71, 18.233.174.39",,,,,,,,,
[x],igeinternal.my.auvik.com,"ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"52.201.30.58, 18.233.174.39, 44.196.170.71",,,,,,,,,
[x],inexptesting.eu1.my.auvik.com,"ns-167.awsdns-20.com, awsdns-hostmaster.amazon.com",,NOERROR,"99.86.4.58, 99.86.4.124, 99.86.4.82, 99.86.4.115",,,True,cloudfront,,,,,
[x],info.auvik.com,"bart.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,"104.17.70.206, 104.17.73.206, 104.17.74.206, 104.17.71.206, 104.17.72.206","auvik.mktoweb.com, ab08.mktossl.com",,True,cloudflare,,,,,
[x],info.daily.auvik.com,"ns-1551.awsdns-01.co.uk, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=daily-auvik-com,external-dns/resource=ingress/default/alb-ingress",NOERROR,"52.0.93.124, 52.71.157.1, 107.23.9.10",,,,,,,,,
[x],intellice.my.auvik.com,"ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"52.201.30.58, 44.196.170.71, 18.233.174.39",,,,,,,,,
[x],intelliceit.my.auvik.com,"ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,,
[x],internal.eu2.my.auvik.com,"ns-337.awsdns-42.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,True,cloudfront,,,,,
[x],internal.us1.my.auvik.com,"ns-1509.awsdns-60.org, awsdns-hostmaster.amazon.com",,NOERROR,"13.32.121.92, 13.32.121.87, 13.32.121.12, 13.32.121.77",,,True,cloudfront,,,,,
[x],ir.auvik.com,"ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,"162.159.129.11, 162.159.130.11","auvik2021ipo-farm.q4web.com, webfarm-31002.q4web.com, webfarm-300.q4web.com, cloudflare.cdn.web.prd.q4inc.com, cloudflare.cdn.web.prd.q4inc.com.cdn.cloudflare.net",,True,cloudflare,,,"2606:4700:7::a29f:820b, 2606:4700:7::a29f:810b",,
[x],irinova.my.auvik.com,"ns-1817.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"52.201.30.58, 18.233.174.39, 44.196.170.71",,"ns-1255.awsdns-28.org, ns-1817.awsdns-35.co.uk, ns-357.awsdns-44.com, ns-758.awsdns-30.net",,,,,,,
